Date,VWC_10cm_RC1SM,VWC_10cm_RCSM2,VWC_10cm_RCSM3,VWC_10cm_RCSM5,VWC_30cm_RC1SM,VWC_30cm_RCSM2,VWC_30cm_RCSM3,VWC_30cm_RCSM5,VWC_1m_RC1SM,VWC_1m_RCSM5,VWC_5cm_RCSM2,VWC_5cm_RCSM3,VWC_20cm_RCSM2,VWC_20cm_RCSM3,VWC_40cm_RCSM2,VWC_40cm_RCSM3,VWC_50cm_RCSM2,VWC_50cm_RCSM3,VWC_60cm_RCSM2,VWC_60cm_RCSM3,VWC_75cm_RCSM2,VWC_75cm_RCSM3,VWC_100cm_RCSM2,VWC_100cm_RCSM3,VWC_18in_RCSM2_JJ,VWC_18in_2_RCSM2_JJ,WY
2019-07-13,0.24017916666666667,NA,NA,0.3435610119047619,0.24581666666666666,NA,NA,0.3726395833333333,0.3010389880952381,0.5006458333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
2019-07-20,0.2340595238095238,NA,NA,0.34333988095238094,0.2295107142857143,NA,NA,0.3715252976190476,0.29902083333333335,0.5016613095238095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2619345238095238,0.1907172619047619,2019
2019-07-27,0.2269967261904762,NA,NA,0.3427449404761905,0.2080202380952381,NA,NA,0.3709943452380952,0.2971440476190476,0.5023008928571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25995535714285717,0.18632142857142858,2019
2019-08-03,0.22120089285714287,NA,NA,0.34226636904761903,0.19090267857142856,NA,NA,0.37092529761904763,0.29539315476190475,0.5028520833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25745535714285717,0.1819285714285714,2019
2019-08-10,0.21075922619047618,NA,NA,0.3420916666666667,0.1816357142857143,NA,NA,0.36990089285714284,0.2936720238095238,0.5034761904761904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2524970238095238,0.17648511904761904,2019
2019-08-17,0.2016764880952381,NA,NA,0.3420642857142857,0.17185267857142858,NA,NA,0.3697345238095238,0.29219940476190476,0.5039738095238094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24797321428571428,0.17139285714285715,2019
2019-08-24,0.19182589285714285,NA,NA,0.3428502976190476,0.16357886904761904,NA,NA,0.36977202380952384,0.2908467261904762,0.504210119047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24260416666666665,0.1656577380952381,2019
2019-08-31,0.1841017857142857,NA,NA,0.3423485119047619,0.15801309523809523,NA,NA,0.36920714285714284,0.289675,0.5047294642857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23636011904761905,0.15880952380952382,2019
2019-09-07,0.17878035714285714,NA,NA,0.3438654761904762,0.1554845238095238,0.046002205357142854,NA,0.36919285714285716,0.28854196428571427,0.5050244047619048,0.014274467857142857,NA,0.030630744642857144,NA,0.01155081875,NA,0.06599793839285714,NA,0.08185994464285715,NA,0.025432911904761903,NA,NA,NA,0.2294434523809524,0.15192261904761906,2019
2019-09-14,0.17813273809523808,NA,NA,0.3450684523809524,0.22819464285714286,0.04525178869047619,NA,0.36993035714285716,0.2877797619047619,0.5054252976190476,0.05213377023809524,NA,0.03298055119047619,NA,0.010779886011904763,NA,0.06534068601190476,NA,0.0813347425595238,NA,0.023894503273809525,NA,NA,NA,0.2242886904761905,0.14594047619047618,2019
