"TOA5","CR300_RCSM2","CR300","22811","CR300.Std.10.01","CPU:RCSM2_CR300_May2021.CR300","43469","RCSM2_avg"
"TIMESTAMP","RECORD","VWC_5cm_Avg","Ka_5cm_Avg","T_5cm_Avg","BulkEC_5cm_Avg","VWC_10cm_Avg","Ka_10cm_Avg","T_10cm_Avg","BulkEC_10cm_Avg","VWC_20cm_Avg","Ka_20cm_Avg","T_20cm_Avg","BulkEC_20cm_Avg","VWC_30cm_Avg","Ka_30cm_Avg","T_30cm_Avg","BulkEC_30cm_Avg","VWC_40cm_Avg","Ka_40cm_Avg","T_40cm_Avg","BulkEC_40cm_Avg","VWC_50cm_Avg","Ka_50cm_Avg","T_50cm_Avg","BulkEC_50cm_Avg","VWC_60cm_Avg","Ka_60cm_Avg","T_60cm_Avg","BulkEC_60cm_Avg","VWC_75cm_Avg","Ka_75cm_Avg","T_75cm_Avg","BulkEC_75cm_Avg","VWC_100cm_Avg","Ka_100cm_Avg","T_100cm_Avg","BulkEC_100cm_Avg"
"TS","RN","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-05-01 14:30:00",8,0.468,31.96,17.72,0.006,0.273,15.56,13.21,0,0.526,37.55,9.86,0.008,0.518,36.93,9.03,0.001,0.508,36.05,8.56,0,0.428,28.16,8.12,0,0.36,22.14,7.53,0,0.555,39.76,6.864,0.009,0.501,35.34,5.714,0.028
"2021-05-01 15:00:00",9,0.466,31.8,17.77,0.005,0.272,15.47,13.27,0,0.525,37.51,9.87,0.008,0.516,36.76,9.02,0.001,0.507,35.99,8.54,0,0.427,28.04,8.09,0,0.359,22.05,7.495,0,0.554,39.67,6.829,0.009,0.501,35.39,5.694,0.029
"2021-05-01 15:30:00",10,0.458,31.04,17.98,0.004,0.266,15.04,13.58,0,0.523,37.34,9.94,0.007,0.506,35.89,8.93,0,0.504,35.69,8.42,0,0.42,27.44,7.95,0,0.353,21.57,7.321,0,0.548,39.22,6.657,0.008,0.504,35.64,5.592,0.031
"2021-05-01 16:00:00",11,0.456,30.87,17.92,0.004,0.264,14.96,13.62,0,0.522,37.25,9.96,0.007,0.506,35.85,8.92,0,0.503,35.62,8.4,0,0.42,27.42,7.929,0,0.352,21.5,7.3,0,0.548,39.24,6.633,0.008,0.503,35.62,5.582,0.03
"2021-05-01 16:30:00",12,0.448,30.04,17.59,0.003,0.258,14.55,13.8,0,0.516,36.8,10.07,0.009,0.504,35.65,8.88,0.001,0.5,35.3,8.31,0,0.419,27.33,7.824,0,0.348,21.18,7.196,0,0.55,39.37,6.513,0.008,0.503,35.54,5.531,0.029
"2021-05-01 17:00:00",13,0.445,29.74,17.49,0.003,0.257,14.47,13.8,0,0.515,36.72,10.1,0.009,0.503,35.57,8.88,0.001,0.5,35.28,8.3,0,0.419,27.27,7.81,0,0.348,21.17,7.182,0,0.55,39.38,6.499,0.008,0.502,35.52,5.521,0.029
"2021-05-01 17:30:00",14,0.429,28.24,16.95,0,0.251,14.05,13.84,0,0.51,36.32,10.23,0.008,0.499,35.17,8.88,0,0.499,35.17,8.25,0,0.416,27.01,7.74,0,0.347,21.11,7.113,0,0.551,39.43,6.431,0.007,0.501,35.42,5.471,0.027
"2021-05-01 18:00:00",15,0.428,28.13,16.84,0,0.25,14.03,13.83,0,0.51,36.34,10.25,0.008,0.499,35.15,8.89,0,0.498,35.09,8.24,0,0.416,27.02,7.729,0,0.346,21.04,7.102,0,0.551,39.43,6.417,0.007,0.501,35.35,5.46,0.027
