"Plot Title: RCSM3_temp"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20418944, SEN S/N: 20684004, LBL: RCSM3_temp_30cm)","Water Content, m³/m³ (LGR S/N: 20418944, SEN S/N: 21077014, LBL: RCSM3_temp_70cm)"
1,05/01/21 09:30:01 AM,0.3500,0.2661
2,05/01/21 10:00:01 AM,0.3496,0.2654
3,05/01/21 10:30:01 AM,0.3496,0.2661
4,05/01/21 11:00:01 AM,0.3496,0.2654
5,05/01/21 11:30:01 AM,0.3496,0.2654
6,05/01/21 12:00:01 PM,0.3500,0.2654
7,05/01/21 12:30:01 PM,0.3496,0.2654
8,05/01/21 01:00:01 PM,0.3496,0.2654
9,05/01/21 01:30:01 PM,0.3496,0.2654
10,05/01/21 02:00:01 PM,0.3496,0.2654
11,05/01/21 02:30:01 PM,0.3496,0.2654
12,05/01/21 03:00:01 PM,0.3496,0.2647
13,05/01/21 03:30:01 PM,0.3496,0.2647
14,05/01/21 04:00:01 PM,0.3496,0.2647
15,05/01/21 04:30:01 PM,0.3496,0.2647
16,05/01/21 05:00:01 PM,0.3496,0.2647
17,05/01/21 05:30:01 PM,0.3496,0.2647
18,05/01/21 06:00:01 PM,0.3490,0.2647
19,05/01/21 06:30:01 PM,0.3490,0.2647
20,05/01/21 07:00:01 PM,0.3486,0.2647
21,05/01/21 07:30:01 PM,0.3490,0.2647
22,05/01/21 08:00:01 PM,0.3486,0.2647
23,05/01/21 08:30:01 PM,0.3490,0.2647
24,05/01/21 09:00:01 PM,0.3490,0.2647
25,05/01/21 09:30:01 PM,0.3490,0.2647
26,05/01/21 10:00:01 PM,0.3490,0.2647
27,05/01/21 10:30:01 PM,0.3486,0.2647
28,05/01/21 11:00:01 PM,0.3490,0.2647
29,05/01/21 11:30:01 PM,0.3490,0.2647
30,05/02/21 12:00:01 AM,0.3490,0.2647
31,05/02/21 12:30:01 AM,0.3490,0.2647
32,05/02/21 01:00:01 AM,0.3490,0.2647
33,05/02/21 01:30:01 AM,0.3490,0.2639
34,05/02/21 02:00:01 AM,0.3490,0.2647
35,05/02/21 02:30:01 AM,0.3490,0.2647
36,05/02/21 03:00:01 AM,0.3490,0.2639
37,05/02/21 03:30:01 AM,0.3486,0.2639
38,05/02/21 04:00:01 AM,0.3490,0.2639
39,05/02/21 04:30:01 AM,0.3490,0.2639
40,05/02/21 05:00:01 AM,0.3490,0.2639
41,05/02/21 05:30:01 AM,0.3486,0.2639
42,05/02/21 06:00:01 AM,0.3486,0.2639
43,05/02/21 06:30:01 AM,0.3490,0.2639
44,05/02/21 07:00:01 AM,0.3490,0.2639
45,05/02/21 07:30:01 AM,0.3490,0.2639
46,05/02/21 08:00:01 AM,0.3490,0.2639
47,05/02/21 08:30:01 AM,0.3490,0.2639
48,05/02/21 09:00:01 AM,0.3490,0.2639
49,05/02/21 09:30:01 AM,0.3486,0.2639
50,05/02/21 10:00:01 AM,0.3490,0.2639
51,05/02/21 10:30:01 AM,0.3490,0.2639
52,05/02/21 11:00:01 AM,0.3490,0.2639
53,05/02/21 11:30:01 AM,0.3490,0.2639
54,05/02/21 12:00:01 PM,0.3490,0.2639
55,05/02/21 12:30:01 PM,0.3486,0.2639
56,05/02/21 01:00:01 PM,0.3486,0.2639
57,05/02/21 01:30:01 PM,0.3486,0.2632
58,05/02/21 02:00:01 PM,0.3486,0.2639
59,05/02/21 02:30:01 PM,0.3486,0.2632
60,05/02/21 03:00:01 PM,0.3486,0.2632
61,05/02/21 03:30:01 PM,0.3486,0.2632
62,05/02/21 04:00:01 PM,0.3490,0.2632
63,05/02/21 04:30:01 PM,0.3486,0.2632
