"Plot Title: RCSF2"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20205243, SEN S/N: 20198357, LBL: new sap flow 30 cm)","Water Content, m³/m³ (LGR S/N: 20205243, SEN S/N: 21077015, LBL: new sap flow 60 cm)"
114,05/03/21 11:30:01 PM,0.2843,0.3242
115,05/04/21 12:00:01 AM,0.2843,0.3235
116,05/04/21 12:30:01 AM,0.2843,0.3235
117,05/04/21 01:00:01 AM,0.2850,0.3235
118,05/04/21 01:30:01 AM,0.2843,0.3242
119,05/04/21 02:00:01 AM,0.2843,0.3235
120,05/04/21 02:30:01 AM,0.2843,0.3235
121,05/04/21 03:00:01 AM,0.2843,0.3235
122,05/04/21 03:30:01 AM,0.2850,0.3235
123,05/04/21 04:00:01 AM,0.2843,0.3228
124,05/04/21 04:30:01 AM,0.2850,0.3235
125,05/04/21 05:00:01 AM,0.2843,0.3235
126,05/04/21 05:30:01 AM,0.2850,0.3235
127,05/04/21 06:00:01 AM,0.2843,0.3235
128,05/04/21 06:30:01 AM,0.2850,0.3228
129,05/04/21 07:00:01 AM,0.2843,0.3235
130,05/04/21 07:30:01 AM,0.2843,0.3235
131,05/04/21 08:00:01 AM,0.2850,0.3228
132,05/04/21 08:30:01 AM,0.2850,0.3235
133,05/04/21 09:00:01 AM,0.2843,0.3235
134,05/04/21 09:30:01 AM,0.2850,0.3235
135,05/04/21 10:00:01 AM,0.2843,0.3235
136,05/04/21 10:30:01 AM,0.2843,0.3228
137,05/04/21 11:00:01 AM,0.2843,0.3220
138,05/04/21 11:30:01 AM,0.2843,0.3220
139,05/04/21 12:00:01 PM,0.2843,0.3228
140,05/04/21 12:30:01 PM,0.2843,0.3228
141,05/04/21 01:00:01 PM,0.2843,0.3220
142,05/04/21 01:30:01 PM,0.2843,0.3228
143,05/04/21 02:00:01 PM,0.2843,0.3228
144,05/04/21 02:30:01 PM,0.2843,0.3228
145,05/04/21 03:00:01 PM,0.2843,0.3228
146,05/04/21 03:30:01 PM,0.2843,0.3220
147,05/04/21 04:00:01 PM,0.2843,0.3228
148,05/04/21 04:30:01 PM,0.2843,0.3228
149,05/04/21 05:00:01 PM,0.2843,0.3228
150,05/04/21 05:30:01 PM,0.2843,0.3228
151,05/04/21 06:00:01 PM,0.2843,0.3228
152,05/04/21 06:30:01 PM,0.2843,0.3228
153,05/04/21 07:00:01 PM,0.2843,0.3235
154,05/04/21 07:30:01 PM,0.2843,0.3235
155,05/04/21 08:00:01 PM,0.2836,0.3235
156,05/04/21 08:30:01 PM,0.2836,0.3235
157,05/04/21 09:00:01 PM,0.2843,0.3228
158,05/04/21 09:30:01 PM,0.2836,0.3220
159,05/04/21 10:00:01 PM,0.2836,0.3228
160,05/04/21 10:30:01 PM,0.2836,0.3228
161,05/04/21 11:00:01 PM,0.2836,0.3228
162,05/04/21 11:30:01 PM,0.2843,0.3228
163,05/05/21 12:00:01 AM,0.2843,0.3235
164,05/05/21 12:30:01 AM,0.2836,0.3228
165,05/05/21 01:00:01 AM,0.2843,0.3235
166,05/05/21 01:30:01 AM,0.2836,0.3228
167,05/05/21 02:00:01 AM,0.2843,0.3235
168,05/05/21 02:30:01 AM,0.2836,0.3228
169,05/05/21 03:00:01 AM,0.2836,0.3228
170,05/05/21 03:30:01 AM,0.2836,0.3228
171,05/05/21 04:00:01 AM,0.2836,0.3228
172,05/05/21 04:30:01 AM,0.2836,0.3228
173,05/05/21 05:00:01 AM,0.2836,0.3220
174,05/05/21 05:30:01 AM,0.2843,0.3220
175,05/05/21 06:00:01 AM,0.2843,0.3228
176,05/05/21 06:30:01 AM,0.2836,0.3228
177,05/05/21 07:00:01 AM,0.2843,0.3228
178,05/05/21 07:30:01 AM,0.2843,0.3228
179,05/05/21 08:00:01 AM,0.2843,0.3228
180,05/05/21 08:30:01 AM,0.2843,0.3228
181,05/05/21 09:00:01 AM,0.2836,0.3228
182,05/05/21 09:30:01 AM,0.2836,0.3220
183,05/05/21 10:00:01 AM,0.2836,0.3228
184,05/05/21 10:30:01 AM,0.2836,0.3213
185,05/05/21 11:00:01 AM,0.2836,0.3213
186,05/05/21 11:30:01 AM,0.2836,0.3220
187,05/05/21 12:00:01 PM,0.2836,0.3220
188,05/05/21 12:30:01 PM,0.2836,0.3228
189,05/05/21 01:00:01 PM,0.2828,0.3220
190,05/05/21 01:30:01 PM,0.2828,0.3220
191,05/05/21 02:00:01 PM,0.2836,0.3228
192,05/05/21 02:30:01 PM,0.2836,0.3220
193,05/05/21 03:00:01 PM,0.2828,0.3228
194,05/05/21 03:30:01 PM,0.2828,0.3220
195,05/05/21 04:00:01 PM,0.2828,0.3220
196,05/05/21 04:30:01 PM,0.2828,0.3220
197,05/05/21 05:00:01 PM,0.2828,0.3220
198,05/05/21 05:30:01 PM,0.2828,0.3228
199,05/05/21 06:00:01 PM,0.2836,0.3228
200,05/05/21 06:30:01 PM,0.2836,0.3220
201,05/05/21 07:00:01 PM,0.2836,0.3228
202,05/05/21 07:30:01 PM,0.2828,0.3235
203,05/05/21 08:00:01 PM,0.2828,0.3235
204,05/05/21 08:30:01 PM,0.2828,0.3228
205,05/05/21 09:00:01 PM,0.2828,0.3228
206,05/05/21 09:30:01 PM,0.2828,0.3220
207,05/05/21 10:00:01 PM,0.2828,0.3220
208,05/05/21 10:30:01 PM,0.2828,0.3220
209,05/05/21 11:00:01 PM,0.2828,0.3220
210,05/05/21 11:30:01 PM,0.2836,0.3220
211,05/06/21 12:00:01 AM,0.2836,0.3228
212,05/06/21 12:30:01 AM,0.2836,0.3235
213,05/06/21 01:00:01 AM,0.2836,0.3228
214,05/06/21 01:30:01 AM,0.2828,0.3228
215,05/06/21 02:00:01 AM,0.2828,0.3228
216,05/06/21 02:30:01 AM,0.2828,0.3228
217,05/06/21 03:00:01 AM,0.2836,0.3228
218,05/06/21 03:30:01 AM,0.2828,0.3228
219,05/06/21 04:00:01 AM,0.2836,0.3228
220,05/06/21 04:30:01 AM,0.2828,0.3228
221,05/06/21 05:00:01 AM,0.2836,0.3228
222,05/06/21 05:30:01 AM,0.2828,0.3228
223,05/06/21 06:00:01 AM,0.2828,0.3228
224,05/06/21 06:30:01 AM,0.2836,0.3228
225,05/06/21 07:00:01 AM,0.2836,0.3228
226,05/06/21 07:30:01 AM,0.2828,0.3228
227,05/06/21 08:00:01 AM,0.2828,0.3220
228,05/06/21 08:30:01 AM,0.2828,0.3220
229,05/06/21 09:00:01 AM,0.2828,0.3220
230,05/06/21 09:30:01 AM,0.2828,0.3213
231,05/06/21 10:00:01 AM,0.2828,0.3213
232,05/06/21 10:30:01 AM,0.2828,0.3213
