"Plot Title: CM2SM"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684002, LBL: 30 CM)","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684005, LBL: 10 CM)","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684009, LBL: 1 M)"
95,12/10/19 03:00:01 PM,0.3136,0.2763,0.1932
96,12/10/19 03:30:01 PM,0.3133,0.2776,0.2323
97,12/10/19 04:00:01 PM,0.3136,0.2783,0.2323
98,12/10/19 04:30:01 PM,0.3136,0.2790,0.2323
99,12/10/19 05:00:01 PM,0.3136,0.2793,0.2318
100,12/10/19 05:30:01 PM,0.3140,0.2793,0.2318
101,12/10/19 06:00:01 PM,0.3140,0.2793,0.2318
102,12/10/19 06:30:01 PM,0.3140,0.2793,0.2318
103,12/10/19 07:00:01 PM,0.3144,0.2793,0.2318
104,12/10/19 07:30:01 PM,0.3144,0.2793,0.2318
105,12/10/19 08:00:01 PM,0.3144,0.2790,0.2315
106,12/10/19 08:30:01 PM,0.3144,0.2790,0.2315
107,12/10/19 09:00:01 PM,0.3148,0.2790,0.2315
108,12/10/19 09:30:01 PM,0.3148,0.2786,0.2315
109,12/10/19 10:00:01 PM,0.3144,0.2793,0.2315
110,12/10/19 10:30:01 PM,0.3144,0.2803,0.2315
111,12/10/19 11:00:01 PM,0.3148,0.2813,0.2315
112,12/10/19 11:30:01 PM,0.3148,0.2817,0.1281
113,12/11/19 12:00:01 AM,0.3151,0.2817,0.2311
114,12/11/19 12:30:01 AM,0.3151,0.2817,0.2306
115,12/11/19 01:00:01 AM,0.3156,0.2817,0.1387
116,12/11/19 01:30:01 AM,0.3156,0.2813,0.2306
117,12/11/19 02:00:01 AM,0.3160,0.2813,0.1425
118,12/11/19 02:30:01 AM,0.3160,0.2810,0.2306
119,12/11/19 03:00:01 AM,0.3160,0.2810,0.1475
120,12/11/19 03:30:01 AM,0.3163,0.2806,0.2303
121,12/11/19 04:00:01 AM,0.3163,0.2803,0.1581
122,12/11/19 04:30:01 AM,0.3163,0.2803,0.2303
