Date,VWC_30cm_CHILDST2,VWC_30cm_CHILDST3,VWC_60cm_CHILDST2,VWC_60cm_CHILDST3,WY
2019-07-08,NA,0.34922297734627833,NA,0.3945196153846154,2019
2019-07-15,0.31447559523809526,0.34709940476190476,0.4044232142857143,0.38796213991769546,2019
2019-07-22,0.3096761904761905,0.3439875,0.3961273809523809,0.3750163090128755,2019
2019-07-29,0.30486726190476193,0.3408565476190476,0.3922494047619048,0.40331603053435117,2019
2019-08-05,0.3005738095238095,0.3382175595238095,0.3871517857142857,0.39193814432989693,2019
2019-08-12,0.2971404761904762,0.3362886904761905,0.37911607142857146,0.3966805785123967,2019
2019-08-19,0.2921988095238095,0.33320208333333334,0.36574940476190476,0.3915043189368771,2019
2019-08-26,0.2861672619047619,0.32993720238095237,0.3486232142857143,0.3887235294117647,2019
2019-09-02,0.2781482142857143,0.3260516417910448,0.3339595238095238,0.3634886363636364,2019
2019-09-09,0.27059285714285713,0.32276041666666666,0.3231089285714286,0.3461074675324675,2019
2019-09-16,0.30350714285714286,0.3348952380952381,0.32970119047619045,0.36856550632911395,2019
2019-09-23,0.2947690476190476,0.3336136904761905,0.3263940476190476,0.3871679180887372,2019
2019-09-30,0.29459285714285716,0.33430684523809523,0.32235238095238095,0.3876198757763975,2019
2019-10-07,0.29061309523809525,0.3322205357142857,0.3205589285714286,0.3882380952380952,2020
2019-10-14,0.28587559523809525,0.32963511904761905,0.3189738095238095,0.385599696969697,2020
2019-10-21,0.28086666666666665,0.3286300595238095,0.318225,0.385869696969697,2020
2019-10-28,0.2790416666666667,0.32878511904761903,0.3172357142857143,0.38748666666666665,2020
2019-11-04,0.27755238095238094,0.32810267857142855,0.3174565476190476,0.38544798761609905,2020
2019-11-11,0.2754553571428571,0.3273217261904762,0.31754583333333336,0.388024,2020
2019-11-18,0.27526964285714284,0.39388801369863014,0.3177244047619048,0.46795570934256053,2020
2019-11-25,0.2792732142857143,NA,0.32185654761904764,NA,2020
2019-12-02,0.3161113095238095,NA,0.3750065476190476,NA,2020
2019-12-09,0.40959285714285715,NA,0.3840345238095238,NA,2020
2019-12-16,0.45293154761904764,NA,0.3902315476190476,NA,2020
2019-12-23,0.4114077380952381,NA,0.39301547619047617,NA,2020
2019-12-30,0.36850714285714287,NA,0.3949095238095238,NA,2020
2020-01-06,0.3430345238095238,NA,0.3960672619047619,NA,2020
2020-01-13,0.33707440476190476,NA,0.3967547619047619,NA,2020
2020-01-20,0.4389184523809524,NA,0.3981321428571429,NA,2020
2020-01-27,0.4842910714285714,NA,0.39903333333333335,NA,2020
2020-02-03,0.48466607142857143,NA,0.3994875,NA,2020
2020-02-10,0.48525892857142855,NA,0.4002232142857143,NA,2020
2020-02-17,0.4856970238095238,NA,0.4007875,NA,2020
2020-02-24,0.48575833333333335,NA,0.4016392857142857,NA,2020
2020-03-02,0.48601785714285717,NA,0.40215416666666665,NA,2020
2020-03-09,0.4860922619047619,NA,0.4027833333333333,NA,2020
2020-03-16,0.4858339285714286,NA,0.4030333333333333,NA,2020
2020-03-23,0.4858779761904762,NA,0.4032404761904762,NA,2020
2020-03-30,0.48634285714285713,NA,0.4036529761904762,NA,2020
2020-04-06,0.48696488095238094,NA,0.40407738095238094,NA,2020
2020-04-13,0.4873982142857143,NA,0.40432261904761907,NA,2020
2020-04-20,0.48762849162011174,NA,0.40465921787709497,NA,2020
2020-04-27,0.48720386904761903,0.46615,0.4048979166666667,0.4127416666666667,2020
2020-05-04,0.4872639880952381,0.4662375,0.40518750000000003,0.41342619047619045,2020
2020-05-11,0.48735059523809526,0.4679539094650206,0.4053916666666667,0.4151510288065844,2020
2020-05-18,0.48802083333333335,NA,0.40583125000000003,NA,2020
2020-05-25,0.4886235119047619,NA,0.4062604166666667,NA,2020
2020-06-01,0.4876723214285714,NA,0.40635208333333334,NA,2020
2020-06-08,0.37859375,NA,0.40663214285714283,NA,2020
2020-06-15,0.3330949404761905,NA,0.40650982142857145,NA,2020
2020-06-22,0.32144464285714286,NA,0.4026514880952381,NA,2020
2020-06-29,0.31385089285714285,NA,0.3864002976190476,NA,2020
2020-07-06,0.30555,0.34890919540229887,0.37893591549295774,0.3956413654618474,2020
2020-07-13,0.2962342261904762,0.3454967261904762,0.3702934523809524,0.39685658682634734,2020
2020-07-20,0.28451339285714283,0.3413809523809524,0.35458958333333335,0.395528869047619,2020
2020-07-27,0.2708276785714286,0.362076821192053,0.33823095238095235,0.42189006622516556,2020
2020-08-03,0.2526205357142857,NA,0.32379910714285715,NA,2020
2020-08-10,0.23386279761904763,NA,0.30902410714285716,NA,2020
2020-08-17,0.22597023809523809,0.3220514880952381,0.29744136904761903,0.3778145061728395,2020
2020-08-24,0.21830059523809522,0.3165327380952381,0.28848392857142857,0.3683854938271605,2020
2020-08-31,0.20878333333333335,0.3103360119047619,0.2804732142857143,0.3694058823529412,2020
2020-09-07,0.20035029761904763,0.30442529761904763,0.2738404761904762,0.3653223602484472,2020
2020-09-14,0.1941315476190476,0.30048928571428574,0.26875714285714286,0.3655811728395062,2020
2020-09-21,0.1891139880952381,0.30195833333333333,0.2646199404761905,0.373603003003003,2020
2020-09-28,0.18465119047619047,NA,0.26096458333333333,NA,2020
2020-10-05,0.1808830357142857,NA,0.2580345238095238,NA,2021
2020-10-12,0.1785095238095238,NA,0.25593482142857144,NA,2021
2020-10-19,0.175875,NA,0.2539232142857143,NA,2021
2020-10-26,0.17379761904761903,NA,0.25245595238095236,NA,2021
2020-11-02,0.17287440476190477,NA,0.25144047619047616,NA,2021
