"TOA5","CR800Series","CR800","35057","CR800.Std.27.04","CPU:rockcreek.CR8","58001","Table2"
"TIMESTAMP","RECORD","BattV_Min","VWC","EC","T"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C"
"","","Min","Smp","Smp","Smp"
"2019-07-19 16:30:00",0,13.3,0.265,0.047,23.89
"2019-07-19 17:00:00",1,13.19,0.265,0.047,24.21
"2019-07-19 17:30:00",2,13.17,0.265,0.047,23.93
"2019-07-19 18:00:00",3,13.15,0.265,0.047,23.51
"2019-07-19 18:30:00",4,13.13,0.265,0.047,23.1
"2019-07-19 19:00:00",5,13.11,0.265,0.047,22.78
"2019-07-19 19:30:00",6,13.1,0.265,0.047,22.49
"2019-07-19 20:00:00",7,13.09,0.265,0.047,22.26
"2019-07-19 20:30:00",8,13.09,0.265,0.047,22.02
"2019-07-19 21:00:00",9,13.08,0.265,0.047,21.82
"2019-07-19 21:30:00",10,13.07,0.265,0.047,21.67
"2019-07-19 22:00:00",11,13.06,0.265,0.047,21.51
"2019-07-19 22:30:00",12,13.06,0.265,0.047,21.38
"2019-07-19 23:00:00",13,13.05,0.265,0.047,21.21
"2019-07-19 23:30:00",14,13.04,0.265,0.047,21.16
"2019-07-20 00:00:00",15,13.04,0.265,0.047,21.01
"2019-07-20 00:30:00",16,13.03,0.265,0.047,20.91
"2019-07-20 01:00:00",17,13.03,0.265,0.047,20.84
"2019-07-20 01:30:00",18,13.02,0.264,0.047,20.74
"2019-07-20 02:00:00",19,13.02,0.264,0.047,20.65
"2019-07-20 02:30:00",20,13.01,0.264,0.047,20.58
"2019-07-20 03:00:00",21,13.01,0.264,0.047,20.52
"2019-07-20 03:30:00",22,13,0.264,0.047,20.43
"2019-07-20 04:00:00",23,13,0.264,0.047,20.35
"2019-07-20 04:30:00",24,13,0.264,0.047,20.25
"2019-07-20 05:00:00",25,12.99,0.264,0.047,20.2
"2019-07-20 05:30:00",26,12.99,0.264,0.047,20.11
"2019-07-20 06:00:00",27,12.99,0.264,0.047,20.04
"2019-07-20 06:30:00",28,12.98,0.264,0.047,19.96
"2019-07-20 07:00:00",29,12.98,0.264,0.047,19.89
"2019-07-20 07:30:00",30,12.98,0.264,0.047,19.77
"2019-07-20 08:00:00",31,12.99,0.264,0.047,19.73
"2019-07-20 08:30:00",32,13.29,0.264,0.047,19.69
"2019-07-20 09:00:00",33,14.01,0.264,0.047,19.59
"2019-07-20 09:30:00",34,13.82,0.264,0.047,19.49
"2019-07-20 10:00:00",35,13.65,0.264,0.046,19.44
"2019-07-20 10:30:00",36,13.53,0.264,0.046,19.33
"2019-07-20 11:00:00",37,13.44,0.264,0.046,19.3
"2019-07-20 11:30:00",38,13.35,0.264,0.046,19.19
"2019-07-20 12:00:00",39,13.3,0.264,0.046,19.13
"2019-07-20 12:30:00",40,13.23,0.264,0.046,19.08
"2019-07-20 13:00:00",41,13.19,0.264,0.046,19
"2019-07-20 13:30:00",42,13.15,0.264,0.046,18.92
"2019-07-20 14:00:00",43,13.14,0.264,0.046,18.88
"2019-07-20 14:30:00",44,13.12,0.264,0.046,18.83
"2019-07-20 15:00:00",45,13.13,0.264,0.046,18.78
"2019-07-20 15:30:00",46,13.13,0.264,0.046,18.73
"2019-07-20 16:00:00",47,13.26,0.264,0.046,18.71
"2019-07-20 16:30:00",48,13.28,0.264,0.046,18.71
"2019-07-20 17:00:00",49,13.2,0.263,0.046,18.71
"2019-07-20 17:30:00",50,13.19,0.263,0.046,18.7
"2019-07-20 18:00:00",51,13.15,0.263,0.046,18.73
"2019-07-20 18:30:00",52,13.12,0.263,0.046,18.78
"2019-07-20 19:00:00",53,13.1,0.263,0.046,18.79
"2019-07-20 19:30:00",54,13.09,0.263,0.046,18.83
"2019-07-20 20:00:00",55,13.08,0.263,0.046,18.91
"2019-07-20 20:30:00",56,13.07,0.263,0.046,18.92
"2019-07-20 21:00:00",57,13.06,0.263,0.046,19
"2019-07-20 21:30:00",58,13.05,0.264,0.046,19.04
"2019-07-20 22:00:00",59,13.04,0.263,0.046,19.06
"2019-07-20 22:30:00",60,13.04,0.263,0.046,19.11
"2019-07-20 23:00:00",61,13.03,0.263,0.046,19.13
"2019-07-20 23:30:00",62,13.02,0.263,0.046,19.15
"2019-07-21 00:00:00",63,13.02,0.263,0.046,19.23
"2019-07-21 00:30:00",64,13.01,0.264,0.046,19.24
"2019-07-21 01:00:00",65,13,0.264,0.046,19.22
"2019-07-21 01:30:00",66,13,0.264,0.046,19.25
"2019-07-21 02:00:00",67,12.99,0.264,0.047,19.25
"2019-07-21 02:30:00",68,12.99,0.264,0.047,19.3
"2019-07-21 03:00:00",69,12.98,0.264,0.046,19.23
"2019-07-21 03:30:00",70,12.97,0.264,0.047,19.27
"2019-07-21 04:00:00",71,12.97,0.264,0.047,19.26
"2019-07-21 04:30:00",72,12.97,0.264,0.047,19.26
"2019-07-21 05:00:00",73,12.97,0.264,0.047,19.23
"2019-07-21 05:30:00",74,12.97,0.264,0.046,19.19
"2019-07-21 06:00:00",75,12.96,0.263,0.046,19.17
"2019-07-21 06:30:00",76,12.96,0.263,0.047,19.17
"2019-07-21 07:00:00",77,12.95,0.263,0.046,19.12
"2019-07-21 07:30:00",78,12.96,0.263,0.046,19.1
"2019-07-21 08:00:00",79,12.97,0.263,0.046,19.05
"2019-07-21 08:30:00",80,13.29,0.263,0.047,18.98
"2019-07-21 09:00:00",81,13.92,0.263,0.046,18.95
"2019-07-21 09:30:00",82,13.76,0.263,0.046,18.92
"2019-07-21 10:00:00",83,13.62,0.263,0.046,18.87
"2019-07-21 10:30:00",84,13.53,0.263,0.046,18.86
"2019-07-21 11:00:00",85,13.41,0.263,0.046,18.8
"2019-07-21 11:30:00",86,13.35,0.263,0.046,18.74
"2019-07-21 12:00:00",87,13.24,0.263,0.046,18.72
"2019-07-21 12:30:00",88,13.19,0.263,0.046,18.68
"2019-07-21 13:00:00",89,13.17,0.262,0.046,18.61
"2019-07-21 13:30:00",90,13.16,0.262,0.046,18.56
"2019-07-21 14:00:00",91,13.16,0.262,0.046,18.56
"2019-07-21 14:30:00",92,13.16,0.262,0.046,18.52
"2019-07-21 15:00:00",93,13.15,0.262,0.046,18.48
"2019-07-21 15:30:00",94,13.28,0.262,0.046,18.49
"2019-07-21 16:00:00",95,13.28,0.262,0.046,18.49
"2019-07-21 16:30:00",96,13.28,0.262,0.046,18.51
"2019-07-21 17:00:00",97,13.3,0.262,0.045,18.52
"2019-07-21 17:30:00",98,13.32,0.262,0.046,18.53
"2019-07-21 18:00:00",99,13.28,0.262,0.046,18.55
"2019-07-21 18:30:00",100,13.2,0.262,0.046,18.61
"2019-07-21 19:00:00",101,13.16,0.262,0.046,18.64
"2019-07-21 19:30:00",102,13.14,0.262,0.046,18.72
"2019-07-21 20:00:00",103,13.12,0.262,0.046,18.75
"2019-07-21 20:30:00",104,13.1,0.262,0.046,18.83
"2019-07-21 21:00:00",105,13.09,0.262,0.046,18.87
"2019-07-21 21:30:00",106,13.08,0.262,0.046,18.93
"2019-07-21 22:00:00",107,13.06,0.262,0.046,18.94
"2019-07-21 22:30:00",108,13.05,0.262,0.046,19
"2019-07-21 23:00:00",109,13.04,0.262,0.046,19.03
"2019-07-21 23:30:00",110,13.03,0.262,0.046,19.11
"2019-07-22 00:00:00",111,13.03,0.262,0.046,19.09
"2019-07-22 00:30:00",112,13.02,0.262,0.046,19.16
"2019-07-22 01:00:00",113,13.01,0.262,0.046,19.18
"2019-07-22 01:30:00",114,13,0.262,0.046,19.18
"2019-07-22 02:00:00",115,13,0.263,0.046,19.18
"2019-07-22 02:30:00",116,12.99,0.263,0.047,19.22
"2019-07-22 03:00:00",117,12.99,0.263,0.047,19.19
"2019-07-22 03:30:00",118,12.98,0.263,0.047,19.22
"2019-07-22 04:00:00",119,12.97,0.262,0.046,19.18
"2019-07-22 04:30:00",120,12.97,0.262,0.046,19.18
"2019-07-22 05:00:00",121,12.97,0.262,0.046,19.16
"2019-07-22 05:30:00",122,12.96,0.262,0.047,19.14
"2019-07-22 06:00:00",123,12.95,0.262,0.046,19.15
"2019-07-22 06:30:00",124,12.95,0.262,0.047,19.12
"2019-07-22 07:00:00",125,12.95,0.262,0.047,19.1
"2019-07-22 07:30:00",126,12.95,0.262,0.046,19.08
"2019-07-22 08:00:00",127,12.95,0.262,0.046,19.06
"2019-07-22 08:30:00",128,13.32,0.262,0.046,19
"2019-07-22 09:00:00",129,13.95,0.262,0.046,18.94
"2019-07-22 09:30:00",130,13.76,0.262,0.046,18.9
"2019-07-22 10:00:00",131,13.62,0.262,0.046,18.88
"2019-07-22 10:30:00",132,13.5,0.262,0.046,18.84
"2019-07-22 11:00:00",133,13.41,0.262,0.046,18.8
"2019-07-22 11:30:00",134,13.36,0.262,0.046,18.8
"2019-07-22 12:00:00",135,13.24,0.262,0.046,18.69
"2019-07-22 12:30:00",136,13.19,0.262,0.046,18.68
"2019-07-22 13:00:00",137,13.16,0.262,0.046,18.58
"2019-07-22 13:30:00",138,13.14,0.262,0.046,18.58
"2019-07-22 14:00:00",139,13.12,0.262,0.046,18.51
"2019-07-22 14:30:00",140,13.1,0.262,0.046,18.55
"2019-07-22 15:00:00",141,13.13,0.262,0.046,18.49
"2019-07-22 15:30:00",142,13.12,0.262,0.046,18.47
"2019-07-22 16:00:00",143,13.27,0.262,0.046,18.48
"2019-07-22 16:30:00",144,13.25,0.262,0.046,18.49
"2019-07-22 17:00:00",145,13.19,0.262,0.046,18.52
"2019-07-22 17:30:00",146,13.2,0.262,0.046,18.55
"2019-07-22 18:00:00",147,13.15,0.262,0.046,18.55
"2019-07-22 18:30:00",148,13.12,0.262,0.046,18.6
"2019-07-22 19:00:00",149,13.1,0.262,0.046,18.69
"2019-07-22 19:30:00",150,13.08,0.262,0.046,18.73
"2019-07-22 20:00:00",151,13.07,0.262,0.046,18.79
"2019-07-22 20:30:00",152,13.06,0.262,0.046,18.85
"2019-07-22 21:00:00",153,13.04,0.262,0.047,18.91
"2019-07-22 21:30:00",154,13.04,0.262,0.046,18.96
"2019-07-22 22:00:00",155,13.03,0.262,0.046,19.01
"2019-07-22 22:30:00",156,13.02,0.262,0.046,19.04
"2019-07-22 23:00:00",157,13.01,0.262,0.046,19.1
"2019-07-22 23:30:00",158,13.01,0.262,0.046,19.17
"2019-07-23 00:00:00",159,12.99,0.262,0.047,19.21
"2019-07-23 00:30:00",160,12.99,0.262,0.046,19.22
"2019-07-23 01:00:00",161,12.98,0.262,0.046,19.26
"2019-07-23 01:30:00",162,12.97,0.262,0.047,19.27
"2019-07-23 02:00:00",163,12.97,0.262,0.046,19.33
"2019-07-23 02:30:00",164,12.96,0.262,0.046,19.27
"2019-07-23 03:00:00",165,12.95,0.262,0.046,19.28
"2019-07-23 03:30:00",166,12.95,0.262,0.047,19.32
"2019-07-23 04:00:00",167,12.94,0.262,0.046,19.3
"2019-07-23 04:30:00",168,12.94,0.262,0.046,19.29
"2019-07-23 05:00:00",169,12.94,0.262,0.046,19.29
"2019-07-23 05:30:00",170,12.93,0.262,0.046,19.25
"2019-07-23 06:00:00",171,12.93,0.262,0.047,19.22
"2019-07-23 06:30:00",172,12.93,0.262,0.046,19.21
"2019-07-23 07:00:00",173,12.93,0.262,0.046,19.18
"2019-07-23 07:30:00",174,12.93,0.262,0.047,19.16
"2019-07-23 08:00:00",175,12.93,0.262,0.047,19.12
"2019-07-23 08:30:00",176,13.29,0.262,0.046,19.07
"2019-07-23 09:00:00",177,13.94,0.262,0.046,19.03
"2019-07-23 09:30:00",178,13.76,0.262,0.046,18.98
"2019-07-23 10:00:00",179,13.59,0.262,0.047,18.97
"2019-07-23 10:30:00",180,13.5,0.262,0.046,18.91
"2019-07-23 11:00:00",181,13.41,0.262,0.046,18.88
"2019-07-23 11:30:00",182,13.3,0.262,0.046,18.81
"2019-07-23 12:00:00",183,13.23,0.262,0.046,18.74
"2019-07-23 12:30:00",184,13.18,0.262,0.046,18.74
"2019-07-23 13:00:00",185,13.15,0.262,0.046,18.68
"2019-07-23 13:30:00",186,13.13,0.262,0.046,18.68
"2019-07-23 14:00:00",187,13.1,0.262,0.046,18.63
"2019-07-23 14:30:00",188,13.14,0.262,0.046,18.58
"2019-07-23 15:00:00",189,13.18,0.262,0.046,18.56
"2019-07-23 15:30:00",190,13.17,0.262,0.046,18.52
"2019-07-23 16:00:00",191,13.26,0.262,0.046,18.52
"2019-07-23 16:30:00",192,13.29,0.262,0.046,18.57
"2019-07-23 17:00:00",193,13.25,0.262,0.046,18.57
"2019-07-23 17:30:00",194,13.24,0.262,0.046,18.58
"2019-07-23 18:00:00",195,13.18,0.262,0.046,18.65
"2019-07-23 18:30:00",196,13.16,0.262,0.046,18.68
"2019-07-23 19:00:00",197,13.12,0.262,0.046,18.78
"2019-07-23 19:30:00",198,13.1,0.262,0.046,18.81
"2019-07-23 20:00:00",199,13.08,0.262,0.046,18.87
"2019-07-23 20:30:00",200,13.07,0.262,0.046,18.92
"2019-07-23 21:00:00",201,13.05,0.262,0.046,18.98
"2019-07-23 21:30:00",202,13.04,0.262,0.046,19.04
"2019-07-23 22:00:00",203,13.03,0.262,0.046,19.07
"2019-07-23 22:30:00",204,13.02,0.262,0.046,19.14
"2019-07-23 23:00:00",205,13.01,0.262,0.046,19.17
"2019-07-23 23:30:00",206,13,0.262,0.046,19.19
"2019-07-24 00:00:00",207,12.99,0.262,0.046,19.22
"2019-07-24 00:30:00",208,12.98,0.262,0.046,19.25
"2019-07-24 01:00:00",209,12.97,0.262,0.046,19.27
"2019-07-24 01:30:00",210,12.96,0.262,0.046,19.3
"2019-07-24 02:00:00",211,12.95,0.262,0.047,19.31
"2019-07-24 02:30:00",212,12.94,0.262,0.047,19.29
"2019-07-24 03:00:00",213,12.94,0.262,0.047,19.29
"2019-07-24 03:30:00",214,12.93,0.262,0.047,19.26
"2019-07-24 04:00:00",215,12.92,0.262,0.047,19.29
"2019-07-24 04:30:00",216,12.92,0.262,0.047,19.29
"2019-07-24 05:00:00",217,12.91,0.262,0.047,19.24
"2019-07-24 05:30:00",218,12.91,0.262,0.047,19.23
"2019-07-24 06:00:00",219,12.91,0.262,0.046,19.18
"2019-07-24 06:30:00",220,12.9,0.262,0.046,19.14
"2019-07-24 07:00:00",221,12.9,0.262,0.047,19.13
"2019-07-24 07:30:00",222,12.91,0.262,0.046,19.09
"2019-07-24 08:00:00",223,12.9,0.262,0.047,19.05
"2019-07-24 08:30:00",224,13.31,0.262,0.046,19.02
"2019-07-24 09:00:00",225,14.07,0.262,0.046,18.95
"2019-07-24 09:30:00",226,13.85,0.262,0.046,18.91
"2019-07-24 10:00:00",227,13.68,0.262,0.046,18.86
"2019-07-24 10:30:00",228,13.53,0.262,0.046,18.81
"2019-07-24 11:00:00",229,13.41,0.262,0.046,18.74
"2019-07-24 11:30:00",230,13.35,0.261,0.046,18.7
"2019-07-24 12:00:00",231,13.23,0.261,0.046,18.64
"2019-07-24 12:30:00",232,13.19,0.261,0.046,18.59
"2019-07-24 13:00:00",233,13.15,0.261,0.046,18.55
"2019-07-24 13:30:00",234,13.13,0.261,0.046,18.47
"2019-07-24 14:00:00",235,13.1,0.261,0.046,18.46
"2019-07-24 14:30:00",236,13.08,0.261,0.046,18.45
"2019-07-24 15:00:00",237,13.11,0.261,0.046,18.41
"2019-07-24 15:30:00",238,13.08,0.261,0.046,18.36
"2019-07-24 16:00:00",239,13.24,0.261,0.045,18.4
"2019-07-24 16:30:00",240,13.22,0.261,0.046,18.36
"2019-07-24 17:00:00",241,13.16,0.261,0.046,18.4
"2019-07-24 17:30:00",242,13.19,0.261,0.045,18.41
"2019-07-24 18:00:00",243,13.14,0.261,0.046,18.45
"2019-07-24 18:30:00",244,13.11,0.261,0.045,18.5
"2019-07-24 19:00:00",245,13.09,0.261,0.046,18.54
"2019-07-24 19:30:00",246,13.06,0.261,0.046,18.61
"2019-07-24 20:00:00",247,13.05,0.261,0.046,18.67
